1,Estación,Código,Región,Departamento,Municipio,Latitud,Longitud,Altitud,Instrumentación Activa,Instrumentación No Activa,Ranking,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
33,Puerto Barrios PHC,INS180101CV,Caribe,Izabal,Puerto Barrios,15.730161,-88.584395,2.0,"TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, PLUVIÓMETRO, TERMOHIGRÓGRAFO, TANQUE EVAPORACIÓN, HELIÓGRAFO.",ABRIGO.,8.0,,,,,,,,,,,,,,
34,Quezada,INS221701CV,Valles de Oriente,Jutiapa,Quesada,14.232852,-90.036177,980.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, VELETA.",,10.0,,,,,,,,,,,,,,
35,Retalhuleu Aeropuerto,INS110101CV,Bocacosta,Retalhuleu,Retalhuleu,14.52486,-91.69407,205.0,"TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TERMOHIGRÓGRAFO.","ABRIGO, VELETA, BARÓMETRO, TANQUE EVAPORACIÓN.",8.0,,,,,,,,,,,,,,
36,Sabana Grande,INS050101CV,Bocacosta,Escuintla,Escuintla,14.373773,-90.830533,730.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, TANQUE EVAPORACIÓN.",,10.0,,,,,,,,,,,,,,
37,Sacapulas,INS141601CV,Altiplano Central,Quiché,Sacapulas,15.290621,-91.091976,1180.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, PLUVIÓMETRO, VELETA.","ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓGRAFO.",8.0,,,,,,,,,,,,,,
38,San Agustín Acasaguastlán,INS020302CV,Valles de Oriente,El Progreso,San Agustín Acasaguastlán,14.9502817,-89.9738746,371.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO.",,9.0,,,,,,,,,,,,,,
39,San Jerónimo R.H.,INS150701CV,Altiplano Central,Baja Verapaz,San Jerónimo,15.060903,-90.252213,1000.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, TERMOHIGRÓGRAFO, VELETA, ANEMÓMETRO, HELIÓGRAFO, TERMÓMETRO.",,11.0,,,,,,,,,,,,,,
40,San Marcos PHC,INS120101CV,Occidente,San Marcos,San Marcos,14.96715,-91.82333,2420.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO, VELETA, ANEMÓMETRO, TANQUE EVAPORACIÓN, HELIÓGRAFO, TERMÓMETRO.",,13.0,,,,,,,,,,,,,,
41,San Martín Jilotepeque,INS040301CV,Altiplano Central,Chimaltenango,San Martín Jilotepeque,14.777474,-90.792558,1800.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, TERMOHIGRÓGRAFO, VELETA, EVAPORÍMETRO PICHÉ.",,10.0,,,,,,,,,,,,,,
42,San Pedro Necta,INS130601CV,Occidente,Huehuetenango,San Pedro Nécta,15.49459,-91.76244,1641.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO, PLUVIÓGRAFO.",,9.0,,,,,,,,,,,,,,
43,Santa Cruz Balanyá,INS041001CV,Altiplano Central,Chimaltenango,Santa Cruz Balanyá,14.683227,-90.918504,2080.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, PLUVIÓMETRO, TERMOHIGRÓGRAFO, VELETA.",PLUVIÓGRAFO.,8.0,,,,,,,,,,,,,,
44,Santa María Cahabón,INS161201CV,Franja Transversal del Norte,Alta Verapaz,Cahabón,15.608429,-89.81227,380.0,"ABRIGO, TERMÓMETRO MÍNIMA, TERMÓMETRO HÚMEDO, TERMÓMETRO SECO, TERMÓMETRO MÁXIMA, ASPIROPSICRÓMETRO, ASPIROPSICRÓMETRO CON VENTILACIÓN, PLUVIÓMETRO.",PLUVIÓGRAFO.,8.0,,,,,,,,,,,,,,
